id,vaccines,tests,confirmed,recovered,deaths,hosp,vent,icu,population,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,stringency_index,iso_alpha_3,iso_alpha_2,iso_numeric,currency,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,key,key_apple_mobility,key_google_mobility
JPN,,,,,,,,,126529100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.78,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,,,,,,,,126529100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.78,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,,,,,,,,126529100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.78,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,,,,,,,,126529100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.78,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,,,,,,,,126529100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.78,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,,,,,,,,126529100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.78,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,,,,,,,,126529100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.78,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,,,,,,,,126529100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.78,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,,,,,,,,126529100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.78,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,,,,,,,,126529100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.78,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,,,,,,,,126529100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,8.33,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,,,,,,,,126529100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,8.33,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,,,,,,,,126529100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,8.33,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,,,,,,,,126529100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,19.44,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,,,,,,,,126529100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,19.44,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,698.0,25.0,4.0,0.0,18.0,,,126529100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,19.44,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,717.0,25.0,4.0,0.0,21.0,,,126529100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,19.44,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,,,0.0,0.0,3.0,,,126529100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,19.44,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,,,0.0,0.0,3.0,,,126529100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,19.44,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,938.0,26.0,9.0,0.0,17.0,,,126529100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,19.44,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,764.0,,0.0,0.0,3.0,,,126529100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,19.44,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,954.0,28.0,10.0,0.0,18.0,,,126529100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,19.44,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,964.0,29.0,11.0,0.0,18.0,,,126529100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,19.44,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,978.0,33.0,12.0,1.0,20.0,,,126529100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,19.44,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,764.0,,,1.0,,,,126529100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,19.44,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,764.0,,,1.0,,,,126529100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,19.44,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,1251.0,59.0,18.0,1.0,40.0,,3.0,126529100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,19.44,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,1287.0,66.0,18.0,1.0,47.0,,3.0,126529100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,19.44,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,1296.0,73.0,20.0,1.0,52.0,,6.0,126529100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,19.44,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,1432.0,84.0,22.0,1.0,61.0,,7.0,126529100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,25.0,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,1522.0,93.0,23.0,1.0,69.0,,9.0,126529100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,25.0,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,1607.0,105.0,24.0,1.0,80.0,,10.0,126529100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,25.0,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,1703.0,129.0,24.0,1.0,104.0,,11.0,126529100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,25.0,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,1742.0,141.0,26.0,1.0,114.0,,13.0,126529100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,25.0,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,1846.0,155.0,27.0,1.0,127.0,,14.0,126529100,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,34.26,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,1890.0,164.0,32.0,1.0,131.0,,15.0,126529100,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,34.26,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,2058.0,186.0,40.0,3.0,143.0,,16.0,126529100,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,34.26,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,2209.0,210.0,41.0,4.0,165.0,,20.0,126529100,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,34.26,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,2339.0,230.0,42.0,5.0,180.0,,22.0,126529100,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,34.26,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,2517.0,239.0,42.0,5.0,192.0,,23.0,126529100,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,34.26,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,2613.0,254.0,43.0,6.0,205.0,,23.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,43.52,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,2684.0,268.0,46.0,6.0,216.0,,24.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,43.52,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,6519.0,284.0,48.0,6.0,230.0,,24.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,43.52,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,6777.0,317.0,49.0,6.0,262.0,,27.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,43.52,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,7476.0,348.0,69.0,6.0,273.0,,30.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,43.52,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,8029.0,407.0,76.0,6.0,325.0,,28.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,43.52,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,8176.0,454.0,80.0,6.0,368.0,,27.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,43.52,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,8286.0,487.0,101.0,7.0,379.0,,33.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,40.74,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,9600.0,513.0,102.0,9.0,402.0,,31.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,40.74,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,10024.0,567.0,118.0,12.0,437.0,,26.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,40.74,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,10205.0,619.0,123.0,15.0,481.0,,29.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,40.74,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,12060.0,674.0,135.0,19.0,520.0,,32.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,40.74,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,12919.0,714.0,144.0,21.0,548.0,,35.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,40.74,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,13026.0,777.0,157.0,22.0,591.0,,36.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,40.74,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,13068.0,809.0,164.0,24.0,603.0,,41.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,40.74,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,15151.0,824.0,171.0,28.0,621.0,,46.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,40.74,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,15354.0,868.0,191.0,29.0,645.0,,46.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,40.74,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,14901.0,907.0,215.0,31.0,659.0,,49.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,40.74,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,18844.0,943.0,227.0,33.0,681.0,,50.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,40.74,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,18963.0,996.0,232.0,35.0,723.0,,55.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,40.74,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,20228.0,1046.0,272.0,36.0,735.0,,57.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,40.74,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,20340.0,1089.0,285.0,41.0,760.0,,54.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,40.74,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,24430.0,1128.0,301.0,42.0,780.0,,55.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,40.74,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,23521.0,1193.0,310.0,43.0,833.0,,57.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,40.74,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,25171.0,1291.0,359.0,45.0,877.0,,56.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,40.74,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,27005.0,1387.0,372.0,46.0,942.0,,57.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,40.74,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,28464.0,1499.0,404.0,49.0,978.0,,60.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,40.74,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,28760.0,1693.0,424.0,52.0,1217.0,,59.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,40.74,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,28966.0,1866.0,424.0,54.0,1388.0,,59.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,40.74,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,32497.0,1953.0,424.0,56.0,1473.0,,59.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,40.74,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,34508.0,2178.0,472.0,57.0,1649.0,,60.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,40.74,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,34510.0,2381.0,505.0,60.0,1816.0,,62.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,40.74,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,39446.0,2617.0,514.0,63.0,2040.0,,64.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,43.52,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,42882.0,2935.0,575.0,69.0,2291.0,,69.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,43.52,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,44639.0,3271.0,584.0,70.0,2617.0,,70.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,43.52,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,46172.0,3654.0,592.0,73.0,2989.0,,79.0,126529100,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,43.52,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,55311.0,3906.0,622.0,80.0,3204.0,,80.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,45.37,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,61498.0,4257.0,632.0,81.0,3544.0,,99.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,45.37,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,64387.0,4768.0,685.0,85.0,3998.0,,109.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,45.37,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,68771.0,5347.0,714.0,88.0,4545.0,,117.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,45.37,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,74891.0,6005.0,762.0,94.0,5149.0,,122.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,45.37,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,77381.0,6748.0,784.0,98.0,5866.0,,129.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,45.37,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,78702.0,7255.0,799.0,102.0,6354.0,,135.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,45.37,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,89551.0,7645.0,853.0,109.0,6683.0,,152.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,45.37,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,94236.0,8100.0,901.0,119.0,7080.0,,168.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,45.37,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,100703.0,8582.0,935.0,136.0,7511.0,,193.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,106372.0,9167.0,1012.0,148.0,8007.0,,207.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,111325.0,9795.0,1069.0,154.0,8572.0,,211.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,112816.0,10361.0,1159.0,161.0,9041.0,,217.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,116725.0,10751.0,1239.0,171.0,9341.0,,231.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,124550.0,11119.0,1356.0,186.0,9577.0,,232.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,130587.0,11496.0,1424.0,203.0,9869.0,,241.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,135983.0,11919.0,1494.0,213.0,10212.0,,259.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,141600.0,12388.0,1556.0,232.0,10600.0,,263.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,147454.0,12829.0,1650.0,247.0,10932.0,,287.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
